kf_mgkg,frequency_thz,eps_real
91,1.2650000000000001,1.344047291604646
91,1.27,1.3427057264322864
91,1.275,1.3463264044777303
91,1.28,1.345212520060263
91,1.2850000000000001,1.3402518697173347
91,1.29,1.342716528330481
91,1.295,1.3437061754847996
91,1.3,1.340472022093279
91,1.3050000000000002,1.342174381663686
91,1.31,1.342491122438927
91,1.315,1.3410046508118099
91,1.32,1.338060656556555
91,1.3250000000000002,1.3445980951215555
91,1.33,1.342049623399513
91,1.335,1.3419722016985622
91,1.3399999999999999,1.3393764446226857
91,1.345,1.3409255581092285
91,1.35,1.3385065638509157
91,1.355,1.339582869813052
91,1.3599999999999999,1.339926370934874
91,1.365,1.340741023207418
91,1.37,1.3375590947301512
91,1.375,1.3368205379948999
91,1.38,1.341539586724313
91,1.385,1.3347499654961494
91,1.3900000000000001,1.3383944048039411
91,1.395,1.337386883412335
91,1.4,1.3390909997744724
91,1.405,1.3360847645863239
91,1.4100000000000001,1.334356703040506
91,1.415,1.3369602909482963
91,1.42,1.3330930787905217
91,1.425,1.3336064024972374
91,1.4300000000000002,1.3359313250767266
91,1.435,1.3360709123750596
91,1.44,1.3319692621795263
91,1.445,1.338503482664899
91,1.4500000000000002,1.335088192931806
91,1.455,1.33806439130628
91,1.46,1.3375637919390275
91,1.4649999999999999,1.334800363954091
91,1.47,1.3335034101257468
91,1.475,1.3308519914690038
91,1.48,1.3366692581691453
91,1.4849999999999999,1.337870999861248
91,1.49,1.3343362383103798
91,1.495,1.3339467844090052
91,1.5,1.3314557154389424
91,1.5050000000000001,1.3310681640265045
91,1.51,1.333201891597168
91,1.5150000000000001,1.3363763123342032
91,1.52,1.3326072126480835
91,1.525,1.3353678199957764
91,1.53,1.3341105925581733
91,1.535,1.3327893654018221
91,1.54,1.3309418370070076
91,1.545,1.3320292658740507
91,1.55,1.329942520687934
91,1.555,1.334965614039354
91,1.56,1.334071225221715
91,1.565,1.3304057661322204
91,1.57,1.3311166653646325
91,1.575,1.3295321636740067
91,1.58,1.3331454245274816
91,1.585,1.3342508546386436
91,1.59,1.3305728801895451
91,1.595,1.3317086573123607
91,1.6,1.3337385906824868
91,1.605,1.3287531144995999
91,1.61,1.3334410267475225
91,1.615,1.3367697938282348
91,1.62,1.3369547702564695
91,1.625,1.3326649619769304
91,1.6300000000000001,1.3329264921692052
91,1.635,1.3349504152742442
91,1.6400000000000001,1.3348215843586038
91,1.645,1.3368674274175374
91,1.6500000000000001,1.3339493306234882
91,1.655,1.3342511473443182
91,1.66,1.3343197797415227
91,1.665,1.3377598985375723
91,1.67,1.3313954620258324
91,1.675,1.3369767567618382
91,1.68,1.3345587039764926
91,1.685,1.3348008366605482
91,1.69,1.3321636390124305
91,1.695,1.334216894717326
91,1.7,1.3322357845956072
91,1.705,1.3281791948507873
91,1.71,1.3352348149641804
91,1.715,1.3314728529901927
91,1.72,1.3350081899360289
91,1.725,1.3317952578297751
91,1.73,1.334215306475976
91,1.735,1.3342471581982136
